"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2015-11-16 06:22:52 +01:00"

Year,"Country / territory of asylum/residence",Origin,"Population type",Value
2014,Austria,Afghanistan,"Refugees (incl. refugee-like situations)",11906
2014,Austria,Armenia,"Refugees (incl. refugee-like situations)",998
2014,Austria,China,"Refugees (incl. refugee-like situations)",388
2014,Austria,Algeria,"Refugees (incl. refugee-like situations)",51
2014,Austria,Egypt,"Refugees (incl. refugee-like situations)",96
2014,Austria,"Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",3188
2014,Austria,Iraq,"Refugees (incl. refugee-like situations)",2966
2014,Austria,Libya,"Refugees (incl. refugee-like situations)",6
2014,Austria,"Sri Lanka","Refugees (incl. refugee-like situations)",32
2014,Austria,Morocco,"Refugees (incl. refugee-like situations)",15
2014,Austria,Mali,"Refugees (incl. refugee-like situations)",11
2014,Austria,Nigeria,"Refugees (incl. refugee-like situations)",346
2014,Austria,Pakistan,"Refugees (incl. refugee-like situations)",131
2014,Austria,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",2748
2014,Austria,Turkey,"Refugees (incl. refugee-like situations)",1276
2014,Austria,Various/Unknown,"Refugees (incl. refugee-like situations)",321
2014,Belgium,Afghanistan,"Refugees (incl. refugee-like situations)",5038
2014,Belgium,Armenia,"Refugees (incl. refugee-like situations)",133
2014,Belgium,China,"Refugees (incl. refugee-like situations)",1051
2014,Belgium,Algeria,"Refugees (incl. refugee-like situations)",37
2014,Belgium,Egypt,"Refugees (incl. refugee-like situations)",29
2014,Belgium,"Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",639
2014,Belgium,Iraq,"Refugees (incl. refugee-like situations)",3357
2014,Belgium,Libya,"Refugees (incl. refugee-like situations)",6
2014,Belgium,"Sri Lanka","Refugees (incl. refugee-like situations)",336
2014,Belgium,Morocco,"Refugees (incl. refugee-like situations)",37
2014,Belgium,Mali,"Refugees (incl. refugee-like situations)",44
2014,Belgium,Nigeria,"Refugees (incl. refugee-like situations)",28
2014,Belgium,Pakistan,"Refugees (incl. refugee-like situations)",130
2014,Belgium,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",2620
2014,Belgium,Turkey,"Refugees (incl. refugee-like situations)",504
2014,Belgium,Various/Unknown,"Refugees (incl. refugee-like situations)",3009
2014,Bulgaria,Afghanistan,"Refugees (incl. refugee-like situations)",212
2014,Bulgaria,"United Arab Emirates","Refugees (incl. refugee-like situations)",0
2014,Bulgaria,Armenia,"Refugees (incl. refugee-like situations)",25
2014,Bulgaria,Algeria,"Refugees (incl. refugee-like situations)",0
2014,Bulgaria,Egypt,"Refugees (incl. refugee-like situations)",14
2014,Bulgaria,"Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",73
2014,Bulgaria,Iraq,"Refugees (incl. refugee-like situations)",1207
2014,Bulgaria,Libya,"Refugees (incl. refugee-like situations)",0
2014,Bulgaria,"Sri Lanka","Refugees (incl. refugee-like situations)",0
2014,Bulgaria,Morocco,"Refugees (incl. refugee-like situations)",0
2014,Bulgaria,Mali,"Refugees (incl. refugee-like situations)",0
2014,Bulgaria,Pakistan,"Refugees (incl. refugee-like situations)",6
2014,Bulgaria,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",8501
2014,Bulgaria,Turkey,"Refugees (incl. refugee-like situations)",16
2014,"Czech Rep.",Afghanistan,"Refugees (incl. refugee-like situations)",228
2014,"Czech Rep.",Armenia,"Refugees (incl. refugee-like situations)",67
2014,"Czech Rep.",China,"Refugees (incl. refugee-like situations)",14
2014,"Czech Rep.",Algeria,"Refugees (incl. refugee-like situations)",0
2014,"Czech Rep.",Egypt,"Refugees (incl. refugee-like situations)",0
2014,"Czech Rep.","Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",25
2014,"Czech Rep.",Iraq,"Refugees (incl. refugee-like situations)",163
2014,"Czech Rep.",Libya,"Refugees (incl. refugee-like situations)",7
2014,"Czech Rep.","Sri Lanka","Refugees (incl. refugee-like situations)",13
2014,"Czech Rep.",Morocco,"Refugees (incl. refugee-like situations)",0
2014,"Czech Rep.",Mali,"Refugees (incl. refugee-like situations)",0
2014,"Czech Rep.",Nigeria,"Refugees (incl. refugee-like situations)",10
2014,"Czech Rep.",Pakistan,"Refugees (incl. refugee-like situations)",20
2014,"Czech Rep.","Syrian Arab Rep.","Refugees (incl. refugee-like situations)",236
2014,"Czech Rep.",Turkey,"Refugees (incl. refugee-like situations)",6
2014,"Czech Rep.",Various/Unknown,"Refugees (incl. refugee-like situations)",64
2014,Germany,Afghanistan,"Refugees (incl. refugee-like situations)",27814
2014,Germany,Armenia,"Refugees (incl. refugee-like situations)",1127
2014,Germany,China,"Refugees (incl. refugee-like situations)",1530
2014,Germany,Algeria,"Refugees (incl. refugee-like situations)",301
2014,Germany,Egypt,"Refugees (incl. refugee-like situations)",355
2014,Germany,"Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",18814
2014,Germany,Iraq,"Refugees (incl. refugee-like situations)",41167
2014,Germany,Libya,"Refugees (incl. refugee-like situations)",267
2014,Germany,"Sri Lanka","Refugees (incl. refugee-like situations)",4046
2014,Germany,Morocco,"Refugees (incl. refugee-like situations)",154
2014,Germany,Mali,"Refugees (incl. refugee-like situations)",34
2014,Germany,Nigeria,"Refugees (incl. refugee-like situations)",867
2014,Germany,Pakistan,"Refugees (incl. refugee-like situations)",4331
2014,Germany,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",40994
2014,Germany,Turkey,"Refugees (incl. refugee-like situations)",22242
2014,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",4526
2014,Denmark,Afghanistan,"Refugees (incl. refugee-like situations)",2130
2014,Denmark,Armenia,"Refugees (incl. refugee-like situations)",74
2014,Denmark,China,"Refugees (incl. refugee-like situations)",25
2014,Denmark,Algeria,"Refugees (incl. refugee-like situations)",9
2014,Denmark,"Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",1912
2014,Denmark,Iraq,"Refugees (incl. refugee-like situations)",967
2014,Denmark,Libya,"Refugees (incl. refugee-like situations)",16
2014,Denmark,"Sri Lanka","Refugees (incl. refugee-like situations)",81
2014,Denmark,Morocco,"Refugees (incl. refugee-like situations)",8
2014,Denmark,Mali,"Refugees (incl. refugee-like situations)",0
2014,Denmark,Nigeria,"Refugees (incl. refugee-like situations)",14
2014,Denmark,Pakistan,"Refugees (incl. refugee-like situations)",51
2014,Denmark,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",7253
2014,Denmark,Turkey,"Refugees (incl. refugee-like situations)",8
2014,Denmark,Various/Unknown,"Refugees (incl. refugee-like situations)",389
2014,Spain,Afghanistan,"Refugees (incl. refugee-like situations)",144
2014,Spain,Armenia,"Refugees (incl. refugee-like situations)",22
2014,Spain,China,"Refugees (incl. refugee-like situations)",16
2014,Spain,Algeria,"Refugees (incl. refugee-like situations)",38
2014,Spain,Egypt,"Refugees (incl. refugee-like situations)",16
2014,Spain,"Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",70
2014,Spain,Iraq,"Refugees (incl. refugee-like situations)",190
2014,Spain,Libya,"Refugees (incl. refugee-like situations)",0
2014,Spain,"Sri Lanka","Refugees (incl. refugee-like situations)",91
2014,Spain,Morocco,"Refugees (incl. refugee-like situations)",40
2014,Spain,Mali,"Refugees (incl. refugee-like situations)",0
2014,Spain,Nigeria,"Refugees (incl. refugee-like situations)",15
2014,Spain,Pakistan,"Refugees (incl. refugee-like situations)",228
2014,Spain,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",1336
2014,Spain,Turkey,"Refugees (incl. refugee-like situations)",6
2014,Spain,Various/Unknown,"Refugees (incl. refugee-like situations)",86
2014,Estonia,Afghanistan,"Refugees (incl. refugee-like situations)",15
2014,Estonia,Armenia,"Refugees (incl. refugee-like situations)",0
2014,Estonia,Algeria,"Refugees (incl. refugee-like situations)",0
2014,Estonia,Iraq,"Refugees (incl. refugee-like situations)",0
2014,Estonia,"Sri Lanka","Refugees (incl. refugee-like situations)",7
2014,Estonia,Pakistan,"Refugees (incl. refugee-like situations)",0
2014,Estonia,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",6
2014,Estonia,Turkey,"Refugees (incl. refugee-like situations)",0
2014,Finland,Afghanistan,"Refugees (incl. refugee-like situations)",1443
2014,Finland,Armenia,"Refugees (incl. refugee-like situations)",0
2014,Finland,China,"Refugees (incl. refugee-like situations)",90
2014,Finland,Algeria,"Refugees (incl. refugee-like situations)",20
2014,Finland,Egypt,"Refugees (incl. refugee-like situations)",6
2014,Finland,"Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",581
2014,Finland,Iraq,"Refugees (incl. refugee-like situations)",3607
2014,Finland,Libya,"Refugees (incl. refugee-like situations)",9
2014,Finland,"Sri Lanka","Refugees (incl. refugee-like situations)",107
